feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,fpr,mcc,seed
modified,KNN,2500,35,50,2401,14,0.9744,0.7142857142857143,0.4117647058823529,0.5223880597014926,0.9942028985507246,0.5882352941176471,0.005797101449275362,0.5307496466624253,17
modified,LR,2500,23,62,2409,6,0.9728,0.7931034482758621,0.27058823529411763,0.40350877192982454,0.9975155279503105,0.7294117647058823,0.002484472049689441,0.45376977920506184,17
modified,GBC,2500,65,20,2410,5,0.99,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9979296066252588,0.23529411764705882,0.002070393374741201,0.8377855872354961,17
modified,Traditional Voting,2500,42,43,2414,1,0.9824,0.9767441860465116,0.49411764705882355,0.65625,0.9995859213250518,0.5058823529411764,0.00041407867494824016,0.6881727800914286,17
modified,OR-Logic,2500,70,15,2390,25,0.984,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.989648033126294,0.17647058823529413,0.010351966873706004,0.7707863437103838,17
modified,SVM,2500,27,58,2412,3,0.9756,0.9,0.3176470588235294,0.4695652173913043,0.9987577639751553,0.6823529411764706,0.0012422360248447205,0.5266256655760156,18
modified,RF,2500,67,18,2406,9,0.9892,0.881578947368421,0.788235294117647,0.8322981366459626,0.9962732919254659,0.21176470588235294,0.0037267080745341614,0.8281187684614598,18
modified,KNN,2500,32,53,2405,10,0.9748,0.7619047619047619,0.3764705882352941,0.5039370078740157,0.9958592132505176,0.6235294117647059,0.004140786749482402,0.5250253156558384,18
modified,LR,2500,19,66,2405,10,0.9696,0.6551724137931034,0.2235294117647059,0.33333333333333337,0.9958592132505176,0.7764705882352941,0.004140786749482402,0.3713186518851633,18
modified,GBC,2500,68,17,2402,13,0.988,0.8395061728395061,0.8,0.8192771084337349,0.9946169772256729,0.2,0.005383022774327122,0.813327443138776,18
modified,Traditional Voting,2500,39,46,2410,5,0.9796,0.8863636363636364,0.4588235294117647,0.6046511627906976,0.9979296066252588,0.5411764705882353,0.002070393374741201,0.6295192991463985,18
modified,OR-Logic,2500,70,15,2388,27,0.9832,0.7216494845360825,0.8235294117647058,0.7692307692307693,0.9888198757763975,0.17647058823529413,0.011180124223602485,0.7623389010969949,18
modified,SVM,2500,22,63,2409,6,0.9724,0.7857142857142857,0.25882352941176473,0.3893805309734514,0.9975155279503105,0.7411764705882353,0.002484472049689441,0.44144801107973264,19
modified,RF,2500,60,25,2409,6,0.9876,0.9090909090909091,0.7058823529411765,0.794701986754967,0.9975155279503105,0.29411764705882354,0.002484472049689441,0.7951276047327773,19
modified,KNN,2500,34,51,2404,11,0.9752,0.7555555555555555,0.4,0.5230769230769231,0.9954451345755694,0.6,0.004554865424430642,0.5390415740028583,19
modified,LR,2500,14,71,2406,9,0.968,0.6086956521739131,0.16470588235294117,0.25925925925925924,0.9962732919254659,0.8352941176470589,0.0037267080745341614,0.3055700635446909,19
modified,GBC,2500,64,21,2405,10,0.9876,0.8648648648648649,0.7529411764705882,0.8050314465408804,0.9958592132505176,0.24705882352941178,0.004140786749482402,0.8007055412474695,19
modified,Traditional Voting,2500,36,49,2410,5,0.9784,0.8780487804878049,0.4235294117647059,0.5714285714285715,0.9979296066252588,0.5764705882352941,0.002070393374741201,0.6013844425664135,19
modified,OR-Logic,2500,65,20,2389,26,0.9816,0.7142857142857143,0.7647058823529411,0.7386363636363635,0.9892339544513458,0.23529411764705882,0.010766045548654244,0.7295677456442923,19
modified,SVM,2500,26,59,2412,3,0.9752,0.896551724137931,0.3058823529411765,0.45614035087719307,0.9987577639751553,0.6941176470588235,0.0012422360248447205,0.5156081246949857,20
modified,RF,2500,58,27,2411,4,0.9876,0.9354838709677419,0.6823529411764706,0.7891156462585035,0.998343685300207,0.3176470588235294,0.0016563146997929607,0.793247904047219,20
modified,KNN,2500,29,56,2408,7,0.9748,0.8055555555555556,0.3411764705882353,0.4793388429752067,0.9971014492753624,0.6588235294117647,0.002898550724637681,0.5146003528229878,20
modified,LR,2500,19,66,2411,4,0.972,0.8260869565217391,0.2235294117647059,0.35185185185185186,0.998343685300207,0.7764705882352941,0.0016563146997929607,0.42115867889674524,20
modified,GBC,2500,60,25,2409,6,0.9876,0.9090909090909091,0.7058823529411765,0.794701986754967,0.9975155279503105,0.29411764705882354,0.002484472049689441,0.7951276047327773,20
modified,Traditional Voting,2500,37,48,2414,1,0.9804,0.9736842105263158,0.43529411764705883,0.6016260162601627,0.9995859213250518,0.5647058823529412,0.00041407867494824016,0.6441717600084038,20
modified,OR-Logic,2500,64,21,2399,16,0.9852,0.8,0.7529411764705882,0.7757575757575759,0.9933747412008281,0.24705882352941178,0.006625258799171843,0.7684897129980245,20
modified,SVM,2500,29,56,2409,6,0.9752,0.8285714285714286,0.3411764705882353,0.4833333333333334,0.9975155279503105,0.6588235294117647,0.002484472049689441,0.5224328573031599,21
